gameId,attendance
22101057,15313
22101055,18306
22101054,18354
22101052,19600
22101053,13748
22101047,18062
22101048,17732
22101049,19432
22101050,19812
22101046,21428
22101045,14369
22101044,19068
22101042,18064
22101043,15864
22101040,14994
22101038,18055
22101039,17136
22101036,17981
22101037,18213
22101033,16648
22101034,19432
22101035,15326
22101032,16789
22101031,19600
22101029,15027
22101030,15282
22101028,18228
22101025,18064
22101026,15943
22101027,18306
22101024,14143
22101023,15810
22101021,16432
22101022,21444
22101020,18742
22101019,17071
22101016,17038
22101017,15683
22101014,19156
22101013,19313
22101012,18057
22101011,17524
22101009,18659
22101010,18306
22101008,18064
22101005,19600
22101006,21727
22101007,14605
22101004,18997
22101003,17071
22101002,15753
22100998,19600
22100999,15060
22101001,16838
22100996,16862
22100997,19156
22100995,14557
22100993,21408
22100992,15282
22100990,18306
22100991,14697
22100989,15121
22100984,17341
22100985,18055
22100986,16191
22100987,15633
22100983,19600
22100981,18086
22100982,18022
22100980,18064
22100979,15743
22100978,16433
22100975,17230
22100976,14066
22100977,14024
22100974,14720
22100528,19542
22100972,20077
22100971,16035
22100970,19600
22100968,14942
22100969,20381
22100967,14962
22100962,19432
22100964,18055
22100965,15079
22100963,13937
22100961,17495
22100960,19156
22100959,18997
22100956,19704
22100957,17794
22100958,17136
22100954,20060
22100953,17071
22100952,16254
22100950,16178
22100951,15180
22100458,19081
22100949,21259
22100946,17244
22100948,15927
22100945,19068
22100943,20229
22100944,13049
22100940,19156
22100941,17732
22100942,19548
22100938,15167
22100935,13583
22100936,17341
22100937,15490
22100934,21333
22100932,19019
22100933,11221
22100931,17857
22100929,12949
22100930,17136
22100927,19156
22100928,18903
22100926,12122
22100923,16812
22100924,17341
22100925,13945
22100726,17112
22100922,19683
22100920,18421
22100921,13014
22100919,17536
22100918,17771
22100917,18064
22100916,14324
22100914,16872
22100913,17071
22100912,19812
22100911,19520
22100910,17341
22100907,19432
22100909,21959
22100906,17870
22100905,19122
22100904,18997
22100902,17071
22100901,16684
22100900,19812
22100896,17577
22100897,15182
22100898,16631
22100899,15302
22100894,20098
22100895,15855
22100891,21236
22100892,16326
22100893,14176
22100890,17986
22100889,15622
22100888,17519
22100887,17341
22100886,15906
22100464,17477
22100885,17029
22100883,18064
22100884,17787
