season,building,teamId,teamCity,teamName,games,mean_delta
1980,Salt Palace,1610612741,Chicago,Bulls,3,-1750.5
1980,Salt Palace,1610612739,Cleveland,Cavaliers,1,-2042.1
1980,San Diego Sports Arena,1610612738,Boston,Celtics,1,4854.6
1980,San Diego Sports Arena,1610612755,Philadelphia,76ers,1,4473.7
1980,San Diego Sports Arena,1610612751,New Jersey,Nets,1,2653.9
1980,San Diego Sports Arena,1610612747,Los Angeles,Lakers,2,2391.2
1980,San Diego Sports Arena,1610612737,Atlanta,Hawks,1,2196.6
1980,San Diego Sports Arena,1610612756,Phoenix,Suns,2,1954.5
1980,San Diego Sports Arena,1610612757,Portland,Trail Blazers,3,1198.4
1980,San Diego Sports Arena,1610612764,Washington,Bullets,1,344.7
1980,San Diego Sports Arena,1610612762,Utah,Jazz,1,153.7
1980,San Diego Sports Arena,1610612739,Cleveland,Cavaliers,1,-117.7
1980,San Diego Sports Arena,1610612749,Milwaukee,Bucks,3,-211.3
1980,San Diego Sports Arena,1610612744,Golden State,Warriors,2,-746.9
1980,San Diego Sports Arena,1610612758,Kansas City,Kings,2,-1146.9
1980,San Diego Sports Arena,1610612741,Chicago,Bulls,2,-1394.1
1980,San Diego Sports Arena,1610612765,Detroit,Pistons,1,-1617.6
1980,San Diego Sports Arena,1610612760,Seattle,SuperSonics,2,-1761.1
1980,San Diego Sports Arena,1610612759,San Antonio,Spurs,1,-2161.6
1980,San Diego Sports Arena,1610612752,New York,Knicks,1,-2369.1
1980,San Diego Sports Arena,1610612745,Houston,Rockets,1,-2458.9
1980,San Diego Sports Arena,1610612743,Denver,Nuggets,3,-2502.3
1980,The Forum,1610612737,Atlanta,Hawks,1,3317.7
1980,The Forum,1610612746,San Diego,Clippers,1,3317.7
1980,The Forum,1610612764,Washington,Bullets,1,3317.7
1980,The Forum,1610612749,Milwaukee,Bucks,3,2381.0
1980,The Forum,1610612745,Houston,Rockets,1,1651.2
1980,The Forum,1610612754,Indiana,Pacers,1,1539.8
1980,The Forum,1610612760,Seattle,SuperSonics,5,1070.9
1980,The Forum,1610612758,Kansas City,Kings,1,1042.8
1980,The Forum,1610612755,Philadelphia,76ers,3,690.3
1980,The Forum,1610612743,Denver,Nuggets,3,458.4
1980,The Forum,1610612756,Phoenix,Suns,6,45.5
1980,The Forum,1610612741,Chicago,Bulls,2,-827.9
1980,The Forum,1610612752,New York,Knicks,1,-1037.2
1980,The Forum,1610612757,Portland,Trail Blazers,3,-1128.7
1980,The Forum,1610612759,San Antonio,Spurs,1,-1958.2
1980,The Forum,1610612751,New Jersey,Nets,1,-2480.0
1980,The Forum,1610612744,Golden State,Warriors,3,-2507.1
1980,The Forum,1610612762,Utah,Jazz,3,-2877.3
1980,The Forum,1610612765,Detroit,Pistons,1,-3732.9
1980,The Omni,1610612741,Chicago,Bulls,1,4857.9
1980,The Omni,1610612747,Los Angeles,Lakers,1,4857.9
1980,The Omni,1610612759,San Antonio,Spurs,1,3857.3
1980,The Omni,1610612738,Boston,Celtics,2,3223.7
1980,The Omni,1610612760,Seattle,SuperSonics,1,3152.1
1980,The Omni,1610612756,Phoenix,Suns,1,2476.9
1980,The Omni,1610612755,Philadelphia,76ers,4,1437.1
1980,The Omni,1610612749,Milwaukee,Bucks,1,1365.1
1980,The Omni,1610612764,Washington,Bullets,3,1232.0
1980,The Omni,1610612743,Denver,Nuggets,1,557.0
1980,The Omni,1610612744,Golden State,Warriors,1,456.1
1980,The Omni,1610612758,Kansas City,Kings,1,210.1
1980,The Omni,1610612765,Detroit,Pistons,3,-80.2
1980,The Omni,1610612746,San Diego,Clippers,1,-1411.2
1980,The Omni,1610612752,New York,Knicks,3,-1621.6
1980,The Omni,1610612754,Indiana,Pacers,3,-2453.0
1980,The Omni,1610612739,Cleveland,Cavaliers,3,-2490.7
1980,The Omni,1610612745,Houston,Rockets,1,-2502.4
1980,The Omni,1610612751,New Jersey,Nets,3,-2508.6
1980,The Omni,1610612757,Portland,Trail Blazers,1,-3022.3
1980,The Omni,1610612762,Utah,Jazz,1,-3283.7
1980,The Spectrum,1610612760,Seattle,SuperSonics,1,6515.0
1980,The Spectrum,1610612738,Boston,Celtics,5,4621.7
1980,The Spectrum,1610612747,Los Angeles,Lakers,3,3450.2
1980,The Spectrum,1610612745,Houston,Rockets,2,1153.4
1980,The Spectrum,1610612759,San Antonio,Spurs,3,667.8
1980,The Spectrum,1610612756,Phoenix,Suns,1,121.8
1980,The Spectrum,1610612737,Atlanta,Hawks,6,-140.8
1980,The Spectrum,1610612757,Portland,Trail Blazers,1,-426.6
1980,The Spectrum,1610612764,Washington,Bullets,3,-497.2
1980,The Spectrum,1610612739,Cleveland,Cavaliers,3,-660.8
1980,The Spectrum,1610612743,Denver,Nuggets,1,-797.4
1980,The Spectrum,1610612746,San Diego,Clippers,1,-1239.0
1980,The Spectrum,1610612752,New York,Knicks,3,-1320.8
1980,The Spectrum,1610612765,Detroit,Pistons,3,-1524.5
1980,The Spectrum,1610612749,Milwaukee,Bucks,1,-1582.1
1980,The Spectrum,1610612741,Chicago,Bulls,1,-1969.2
1980,The Spectrum,1610612751,New Jersey,Nets,3,-2738.5
1980,The Spectrum,1610612754,Indiana,Pacers,2,-3183.2
1980,The Spectrum,1610612762,Utah,Jazz,1,-3441.0
1980,The Spectrum,1610612758,Kansas City,Kings,1,-3512.9
1980,The Spectrum,1610612744,Golden State,Warriors,1,-4000.7
1980,The Summit,1610612747,Los Angeles,Lakers,1,5591.8
1980,The Summit,1610612760,Seattle,SuperSonics,1,5591.8
1980,The Summit,1610612755,Philadelphia,76ers,3,3997.2
1980,The Summit,1610612749,Milwaukee,Bucks,1,2109.1
1980,The Summit,1610612738,Boston,Celtics,5,1365.1
1980,The Summit,1610612758,Kansas City,Kings,1,1317.1
1980,The Summit,1610612764,Washington,Bullets,2,936.5
1980,The Summit,1610612759,San Antonio,Spurs,5,684.4
1980,The Summit,1610612762,Utah,Jazz,1,555.9
1980,The Summit,1610612737,Atlanta,Hawks,3,-860.4
1980,The Summit,1610612757,Portland,Trail Blazers,1,-923.1
